2026-08-12 13:21:40 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - AMZN için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:42 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:42 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - GOOGL için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:43 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:43 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - META için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:45 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:45 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - LLY için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:46 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:47 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - SIMO için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:52 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:57 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:00 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:00 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - AAPL için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:06 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:06 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - MSFT için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:12 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:13 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - MU için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:19 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:19 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - AMD için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:26 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:27 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - TSLA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:33 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:34 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - PLTR için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:40 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:40 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - AMZN için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:47 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:47 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - GOOGL için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:22:54 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:22:54 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - META için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:23:00 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:23:01 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - LLY için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:23:07 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:23:08 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - SIMO için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:23:15 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:28:19 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 13:28:20 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:28:22 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:28:22 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 13:28:55 | INFO     | src.risk_engine.portfolio:calculate_position:64 - NVDA için BALANCED risk hesabı tamamlandı: 22 Lot ($4785.0)
2026-08-12 13:28:56 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
